county,provider,contract_plan,plan_category,dental_notes,dental_scorecard,dental_scorecard_notes,vision_coverage,hearing_aid_coverage,pers_coverage,meals_benefit_structure,worldwide_benefit_structure ,other_benefits,additional_notes,optional_supplemental_benefit_package
FL: LMS,Humana Inc.,H1019 - 026 - 000,D-SNP HMO,"This CareNeeds plan (Humana) is just like their other plans...it is a comprehensive plan but it doesn't cover important comprehensive procedures such as bridges, surgical procedures, perio surgeries and certain denture codes. ",Weak,"Devoted's DSNP max is unlimited in this market just like this CareNeeds Humana plan. However, this Humana plan is much less comprehensive and has restrictions such as 1 crown code per year so in reality, it isn't really unlimited..Devoted wins.","Up to $500 toward eyeglasses – frame, lenses and fitting – or contact lenses (conventional/disposable) and fitting OR $0 cost for choice of 3 pair of select eyeglasses – frame and lenses – per plan year; may choose prescription sunglasses as 1 pair; UV protection and scratch-resistant coating, standard no-line bifocals, and transition lenses are also included.","Plan pays up to $1,000 per ear per calendar year toward 1 aid per ear per calendar year; benefit includes 1-month battery supply and 1-year warranty",NC,"2 home-delivered meals per day for 7 days, up to 14 meals; limited to 4 times per year; meals must be requested within 30 days of discharge from inpatient stay.",UNK,"Humana Flexible Care Assistance for eligible chronically ill members – up to $1,000 toward (but not limited to):• Medical expense assistance • Meal delivery services • Caregiver services • Adult day care • Utilities • Non-medical transportation • Medical supplies and prosthetics • Pest control • Alternative therapies • Home and bathroom safety devices",AIDS-related massage therapy may be covered depending on level of Medicaid eligibility.,N/A
FL: LMS,Humana Inc.,H1036 - 213 - 000,D-SNP HMO,"Like other Humana plans, this is a very comprehensive plan that is heavy on surgery, dentures etc..a lot of unnecessary codes too like I've mentioned before such as hospital OR codes. No implant coverage",Weak/Same,"Devoted's DSNP max is unlimited in this market and Humana has a $6,000 max so Devoted plan could be viewed by brokers and members as being stronger for this reason only. However, Humana plan is more comprehensive so if Devoted had implant coverage, they would win hands down. ",Up to $600 toward the purchase and fitting of eyeglasses and pair of lenses or contact lenses (conventional/disposable) OR 3 pair(s) of select eyeglasses at no cost per calendar year. Any add'l upgrades to the select pair will be at member's cost. UV protection and scratch-resistant coating included on all eyeglass lenses.,"2 plan-approved hearing aids per year. Hearing aid purchase includes 1 fitting and 3 adjustments w/in 1st year of purchase; 60-day trial period; 1-year extended warranty; 1-month battery supply. $0 per Value Aid or $699 per Advanced Aid or $1,299 per Premium Aid.",NC,"2 home-delivered meals per day for 7 days, up to 14 meals. Limited to 4 times per year; meals have to be requested w/in 30 days of discharge from inpatient stay.",UNK,"Humana Flexible Care Assistance for eligible chronically ill members – up to $1,000 toward (but not limited to):• Medical expense assistance
• Meal delivery services
• Caregiver services
• Adult day care
• Utilities
• Non-medical transportation
• Medical supplies and prosthetics
• Pest control
• Alternative therapies
• Home and bathroom safety devices",AIDS-related massage therapy may be covered depending on level of Medicaid eligibility.,
FL: LMS,Humana Inc.,H1019 - 057 - 000,Zero MAPD HMO,"This CareNeeds plan (Humana) is just like their other plans...it is a comprehensive plan but it doesn't cover important comprehensive procedures such as bridges, surgical procedures, perio surgeries and certain denture codes. ",Same/Strong,"Devoted's CORE plan in LMS has a $2,000 max. Devoted's CORE plan is much more comprehensive than this Humana plan but because Humana's plan is unlimited, brokers may look at this plan as being the same in strength or even better than Devoted's CORE plan. If Devoted raised its maximum or or added implant coverage, it easily beat out this plan.","Choice of 1 Eyewear Option per plan year: Eyewear Option 1 includes up to $300 for eyeglasses – frame, lenses, and fitting; contact lenses (conventional/disposable) and fitting OR Eyewear Option 2 includes choice of 2 pairs of select eyeglasses, frame, and lenses per plan year; may choose prescription sunglasses as 1 pair; UV protection and scratch-resistant coating are included for eyeglasses.","Plan pays up to $1,000 per ear per year toward 1 hearing aid per ear per calendar year; includes 1-month battery supply and 1-year warranty",NC,"2 home-delivered meals per day for up to 7 days, up to 14 meals. Limited to 4 times per year; meals must be requested w/in 30 days of discharge from inpatient stay in a hospital or nursing facility.",UNK,Flexible Care Assistance for eligible chronically ill members – up to $500 toward (but not limited to):• Medical expense assistance • Meal delivery services • Caregiver services • Adult day care • Utilities • Non-medical transportation • Medical supplies and prosthetics • Pest control • Alternative therapies • Home and bathroom safety devices,OTC items may also be ordered via fax; NEMT arrangements must be made at least 3 weekdays prior to appointment; OON coverage for benefits available only for services received in Puerto Rico,
FL: LMS,"UnitedHealth Group, Inc.",H1045 - 025 - 000,Zero MAPD HMO,"Like most HMO UHC plans, this plan seems to pay the negotiated rate for OON care. They say they cover implants but that doesn't do much with a $2,000 max.",Same/Strong,"Devoted's CORE plan in LMS has a $2,000 max and this UHC plan does as well. Both plans are very similar in regards to their comprehensive coverage but UHC has implant coverage. UHC also will pay the negotiated HMO rate if their members go OON...not sure if Devoted does this so the UHC plan is the 'same' at best or slightly better","Plan pays up to $200 toward purchase of 1 pair of standard lenses and frames every year – standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses – OR contact lenses instead of lenses and frames every year (fitting and evaluation may be an additional cost). Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Home-delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","2 hearing aids per year; $175 copay for each Silver-level aid; $425 copay for each Gold-level aid; $800 copay for each Classic-level name-brand aid; $1,225 copay for each Premier-level name-brand aid. Aids can be fit in-person with a network provider or delivered directly with virtual follow-up care (select models). Accessories and optional services are available for purchase but are not covered by the plan.",NC,Up to 28 home-delivered meals for up to 14 days; benefit can be used immediately following an inpatient or SNF stay if recommended by a provider.,UNK,Free home delivery of OTC items when you spend $35 or more,Vendor Information Sheet is available at myAARPMedicare.com.,
FL: LMS,Humana Inc.,H1036 - 146 - 000,Zero MAPD HMO,This Humana plan is not as comprehensive as some of their other plans..and it's not as comprehensive as Devoted's plan either.,Weak/Same,"Devoted's CORE plan in LMS has a $2,000 max and this plan has a $2,000 max as well. However, Devoted's plan wins on its comprehensive coverage. Some brokers may view these plans as the same in strength because of the same annual max and 0% coinsurance but others may see the Devoted plan as slightly better. Devoted should increase to $3000 or add implant coverage to win outright",Up to $400 toward the purchase and fitting of eyeglasses and pair of lenses or contact lenses (conventional/disposable) OR 3 pair(s) of select eyeglasses at no cost per calendar year. Any add'l upgrades to the select pair will be at member's cost. UV protection and scratch-resistant coating included on all eyeglass lenses.,"2 plan-approved hearing aids per year. Hearing aid purchase includes 1 fitting and 3 adjustments w/in 1st year of purchase; 60-day trial period; 1-year extended warranty; 1-month battery supply. $199 per Value Aid or $699 per Advanced Aid or $1,299 per Premium Aid.",NC,NC,UNK,N/A,OTC items are available through mail-order service; unkown if that includes online and over the phone,
FL: LMS,Guidewell Mutual Holding Corporation,H1035 - 043 - 000,Zero MAPD HMO,"Based on the high copays for most procedures, I assume this is a true DHMO dental plan. We don't know the vendor but these copays look similar to what I've seen with Delta Dental's DHMO plan. Says unlimited max, no distinction between IN and OON.",Weak,"Devoted's CORE plan in Devoted is a $2,000 max. Even though this Guidewell Mutual plan has an unlimited max, there are extremely high copays and many comprehensive procedures aren't covered. Devoted wins.",NC,"$1,000 annual maximum plan benefit allowance for each hearing aid -- up to 2 aids every year; hearing aid purchases include: 3 follow-up visits within first year of initial fitting date, 60-day trial period from date of fitting, 60 batteries per year per hearing aid (3-year supply), 3-year manufacturer repair warranty, 1-time replacement coverage for lost, stolen or damaged hearing aid (deductible may apply per aid), First set of ear molds (when needed). Amounts paid for these supplies do not count toward INN out-of-pocket maximum amount.",NC,NC,"Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.","Food as Pharmacy – A digital platform that serves as a portal to certified dieticians and nutritional counselors that assess current eating habits and provide education to facilitate better management of chronic medical conditions through personalized meal planning. Learn how to improve eating habits. Receive weekly customized meal plans. Browse a library of healthy recipes. $0 copay. (See also Special Supplemental Benefits for the Chronically Ill (SSBCI) for more information.) Special Supplemental Benefits for the Chronically Ill (SSBCI) In addition to your Food as Pharmacy benefit, members diagnosed as having one or a combination of Coronary Artery Disease (CAD), Congestive Heart Failure (CHF), Chronic Obstructive Pulmonary Disease (COPD), and/or Diabetes may receive additional benefits for: $20 per month for healthy food and produce at a plan-approved location. Any unused amount does not roll over to the next month.","Non-emergency transportation will be via a multi-passenger van or medical transport. This service can accommodate wheelchairs, walkers, oxygen tanks, service animals, etc.",N/A
FL: LMS,Guidewell Mutual Holding Corporation,H5434 - 036 - 000,Zero MAPD PPO,"This is the definition of a bait and switch plan that says they have an unlimited max but the only services they cover are for preventive/diagnostic, denture adjustments and extractions. Member who sees OON provider is reimbursed 53% of OON rate.",Weak,"Devoted's PPO choice plan offers a $2500 card benefit which is way better than this Guidewell plan that only covers denture adjustments and extractions, in addition to cleanings/exams. Devoted wins",NC,"$750 annual maximum plan benefit allowance for each hearing aid -- up to 2 aids every year; hearing aid purchases include: 3 follow-up visits within first year of initial fitting date, 60-day trial period from date of fitting, 60 batteries per year per hearing aid (3-year supply), 3-year manufacturer repair warranty, 1-time replacement coverage for lost, stolen or damaged hearing aid (deductible may apply per aid), First set of ear molds (when needed). Amounts paid for these supplies do not count toward INN out-of-pocket maximum amount. OON aids -- member must pay 100% of cost and submit itemized receipt(s) for reimbursement at 53% of the INN allowed amount.",NC,NC,"Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.",N/A,Re: DME -- Important Note: Syringes are covered under the prescription drug (Part D) benefit only when purchased with insulin.,"Getting care using our plan’s optional visitor/traveler benefit: If you do not permanently move, but you are continuously away from our plan’s service area for more than six months, we usually must disenroll you from our plan. However, we offer a visitor/traveler program in 48 states and 2 territories. For some of the states listed, MA PPO networks are only available in portions of the state, which will allow you to remain enrolled when you are outside of our service area for less than 12 months. Under our visitor/traveler program you may receive all plan covered services at in-network cost-sharing."
FL: LMS,"UnitedHealth Group, Inc.",H2406 - 016 - 000,Zero MAPD PPO,"UHC only has a $1000 max which is very bait and switch..like other UHC plans, no coinsurance and they seem to cover OON care at the negotiated rate.",Weak,"Devoted's PPO choice plan offers a $2500 card benefit which is much better than UHC's plan that only has a $1,000 max...even though UHC has an implant benefit, it's not enough. Devoted wins","Plan pays up to $200 toward purchase of 1 pair of standard lenses and frames every year – standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses – OR contact lenses instead of lenses and frames every year (fitting and evaluation may be an additional cost). Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Home-delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","2 hearing aids per year; $175 copay for each Silver-level aid; $425 copay for each Gold-level aid; $800 copay for each Classic-level name-brand aid; $1,225 copay for each Premier-level name-brand aid. Aids can be fit in-person with a network provider or delivered directly with virtual follow-up care (select models). Accessories and optional services are available for purchase but are not covered by the plan.",NC,Up to 28 home-delivered meals for up to 14 days; benefit can be used immediately following an inpatient or SNF stay if recommended by a provider.,UNK,N/A,Vendor Information Sheet is available at myAARPMedicare.com.,
FL: LMS,Humana Inc.,H5216 - 074 - 000,Zero MAPD PPO,This is the definition of a preventive + plan..covers exams/cleanings/fillings...0% coinsurane for IN and OON,Weak,"Devoted's PPO choice plan offers a $2500 card benefit which is much better this Humana plan which is a preventive + plan with only a $1,000 max.","Up to $200 (combined in and out-of-network) toward the purchase and fitting of 1 pair of eyeglasses and pair of lenses OR contact lenses (conventional or disposable), 1 per calendar year). UV protection and scratch-resistant coating are included.","Plan pays up to $1,000 for 2 hearing aids every 3 years",NC,NC,UNK,N/A,OTC items are available through mail-order service; unkown if that includes online and over the phone,
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 039 - 000,D-SNP HMO,"Like most UHC plans, it seems like they will pay the negotiated rate for OON care and the member will be responsible for costs that go above this rate. Implants are listed as a benefit as well.",Weak,"Devoted's DSNP max is unlimited and even though UHC has implant coverage, it's annual max is $4,000 in this market so Devoted plan wins","Plan pays up to $550 toward purchase of 1 pair of standard lenses and frames every year – standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses – OR contact lenses instead of lenses and frames every year (fitting and evaluation may be an additional cost). Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Home-delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","Plan pays up to $3,600 every year for 2 hearing aids through UnitedHealthcare Hearing; includes home-delivered hearing aids with virtual follow-up care (select models). Hearing aid accessories and optional services are available for purchase but are not covered by the plan.",$0 button can be worn on wrist or as pendant; covers subscription as well,Up to 28 home-delivered meals for up to 14 days; benefit can be used immediately following an inpatient or SNF stay if recommended by a provider.,UNK,N/A,Free home delivery of OTC items when you spend $35 or more.,
FL: Manatee,CVS Health Corporation,H1609 - 047 - 000,D-SNP HMO,"Every other Aetna plan outside of FL has used their own network. This is the first FL market I've reviewed for Aetna and they use Liberty. They also require pre-authorization for every major procedure (ie. crown, implants, root canals etc..) This plan may be unlimited because I don't see a number. Having strict limitation terms and pre-authorization keeps their costs down and allows them the benefit of saying 'unlimited'",Same/Strong,"It seems that both Devoted and Aetna have an unlimited max in this market for DSNP. However, Aetna has an implant benefit and Devoted does not. Therefore, the Aetna plan could be looked at as being stronger but Aetna also requires pre-auth.","Plan pays up to $400 every year for contact lenses OR eyeglasses (lenses and frames), up to 3 pairs every year; and upgrades -- UV protection and scratch coating. Add'l coverage under the Medicaid portion of the plan include 2 pairs of eyeglasses/year for members under the age of 21, 1 pair of frames/2 years and 2 lenses/year for members over age 21; contacts covered under Medicaid only when documented medical condition where eyeglasses would not provide any benefit.","Plan pays up to $2,500 per ear for hearing aids every year (2 hearing aids every year). Medicaid coverage includes: diagnostic audiological tests, cochlear implants, hearing aids: one new complete hearing aid device per ear, every three years; up to three pairs of ear molds per year; one fitting and dispensing service per ear; repair and replacement of both Medicaid and non‐Medicaid provided hearing aids, up to two hearing aid repairs every 366 days, after the 1-year warranty period has expired; bone-anchored hearing aid external components and cochlear implant components, including batteries, after the manufacturer’s warranty or insurance protection plan coverage period has expired.","$0 copay for equipment (in-home or mobile w/ GPS), shipping, fulfillment, 24/7 monitoring, and customer service","Up to 42 home-delivered meals over a 14-day period after discharge from Inpatient Acute Hospital, Inpatient Psychiatric Hospital, or SNF (after plan confirms that this benefit will help support recovery or manage health conditions and is not based solely on convenience or comfort purposes).",UNK ,"Fall prevention: plan provides a $150 allowance every year for purchasing certain clinically appropriate home and bathroom safety devices that can help manage physical impairments and improve ability to move safely around home. Covered items are shipped directly to member; plan not responsible for installation and assembly. There is a limit of 3 orders per year, even if annual allowance has not been exceeded.","Via SilverSneakers: you will also have access to online enrichment classes to support your health and wellness, as well as your mental fitness. Health and wellness classes include, but are not limited to: cooking, food & nutrition, and mindfulness. Mental fitness classes include, but are not limited to: new skills, organization, self help, and staying connected.",N
FL: Manatee,Humana Inc.,H1036 - 102 - 000,D-SNP HMO,"Like other Humana plans, this is a very comprehensive plan that is heavy on surgery, dentures etc..a lot of unnecessary codes too like I've mentioned before such as hospital OR codes. No implant coverage",Weak/Same,"Devoted's DSNP max is unlimited in this market and Humana has a $6,000 max so Devoted plan could be viewed by brokers and members as being stronger for this reason only. However, Humana plan is more comprehensive so if Devoted had implant coverage, they would win hands down. ",Up to $400 toward the purchase and fitting of eyeglasses and pair of lenses or contact lenses (conventional/disposable) OR 3 pair(s) of select eyeglasses at no cost per calendar year. Any add'l upgrades to the select pair will be at member's cost. UV protection and scratch-resistant coating included on all eyeglass lenses.,"Play pays up to $1,000 per ear pear year -- 1 hearing aid per ear per year; purchase includes 1-month battery supply and 1-year warranty",NC,"After your inpatient stay in either a hospital or nursing facility, you may be eligible to receive 2 home-delivered meals per day (up to 40 meals), once per calendar year. Meals must be requested within 30 days of discharge from your inpatient stay. If it is determined you need additional in-home support, you may also receive a one-hour extended (In person or telephonic) visit per week (up to 13 visits) by a friendly Meals on Wheels® volunteer.",UNK,"See Meals benefit above, Row 84, re: additional in-home support from Meals on Wheels post discharge from inpatient stay. Also, Humana Flexible Care Assistance for eligible chronically ill members – up to $1,000 toward (but not limited to):• Medical expense assistance • Meal delivery services • Caregiver services • Adult day care • Utilities • Non-medical transportation • Medical supplies and prosthetics • Pest control • Alternative therapies • Home and bathroom safety devices",AIDS-related massage therapy may be covered depending on level of Medicaid eligibility.,
FL: Manatee,"Elevance Health, Inc.",H5427 - 087 - 000,D-SNP HMO,"This is not a comprehensive plan. It covers fillings, some dentures, some perio and in one section it says they cover crowns but in another section, they don't. Not sure about vendor.",Weak,"Even if this plan does have unlimited coverage, Devoted has unlimited coverage as well and Devoted's plan is much more comprehensive. ","Routine Eye exam – up to 1 per year. Refraction only covered when performed as part of a routine vision eye exam by an optometrist. • Eyeglasses or Contacts – up to 2 per year combined up to the benefit maximum, $400. Up to 2 pairs of complete eyeglasses every year, or up to 1 pair of complete eyeglasses and disposable contact lenses every year, or disposable contact lenses every year. Contact lenses are covered in lieu of eyeglasses (lenses and frames) up to the maximum benefit coverage limit. Contact fitting fee varies by provider and is not covered. $0 copayment for routine eye exam(s) 1 per year by an Optometrist; $0 copayment for the plan coverage limit for 2 pairs of eyeglasses or contact lenses per year; $30 copayment for CR-39 clear plastic standard progressive lenses or CR- 39 plastic photochromatic lenses in addition to glasses copayment.","Covered services when rendered by a Participating Provider in the Plan’s hearing vendor network include: • Diagnostic Hearing Exam • Routine Hearing Exam • Fitting/Evaluation for Hearing Aid. 2 hearing aids per year (1 per ear), $2,000 limit on hearing aids ($1,000 per hearing aid).",$0 copayment for 1 Personal Emergency Response (PERS) monitoring device and monitoring service.,We will provide meals to members for up to 1 week or a maximum of 10 meals following each acute hospital stay when medically appropriate. Eligibility for the nutrition benefit shall be determined by the plan Medical Management department based on the following criteria: • Caloric need • Limited upper and lower extremity mobility • Sensory deficiency,"We offer a supplemental benefit covering emergency services, urgent services, and emergency ambulance transportation outside of the country up to $100,000 with a $500 copayment. If you get nonemergency care, you must pay the entire cost yourself. Prescription and over-the- counter drugs are not covered services outside of the United States.","Covered benefit for members with full Medicaid Eligibility: Florida Medicaid covers chiropractic service-related x- rays for up to 24 visits per year, per recipient.","Re: NEMT: Plan-approved locations are only for medical appointments and health needs; such as PCP and specialist visits or drop-off and pick-up for planned medical procedures (i.e., routine blood draw, surgery, x-rays, routine eye exams). Transportation is intended for rides within your county. Call to schedule a ride at least 72 hours prior to scheduled medical appointment. Have the following information ready: Address of appointment, office phone number, appointment date and time. To utilize this benefit for facility-to-facility transportation, advance notice may be required.",N/A
FL: Manatee,Humana Inc.,H1036 - 074 - 000,Zero MAPD HMO,"This Humana plan is not as comprehensive as some of their plans, doesn't cover important comprehensive procedures.",Weak/Same,"Devoted's CORE plan in Manatee also has a $2,000 max but it is more comprehensive than Humana's plan. Some brokers would probably look at these two plans as being the same in strength even though the Humana plan is slightly weaker.",Up to $400 toward the purchase and fitting of eyeglasses and pair of lenses or contact lenses (conventional/disposable) OR 3 pair(s) of select eyeglasses at no cost per calendar year. Any add'l upgrades to the select pair will be at member's cost. UV protection and scratch-resistant coating included on all eyeglass lenses.,"2 plan-approved hearing aids per year. Hearing aid purchase includes 1 fitting and 3 adjustments w/in 1st year of purchase; 60-day trial period; 1-year extended warranty; 1-month battery supply. $199 per Value Aid or $699 per Advanced Aid or $1,299 per Premium Aid.",NC,NC,UNK,N/A,,N
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 028 - 000,Zero MAPD HMO,"Like most HMO UHC plans, this plan seems to pay the negotiated rate for OON care. They say they cover implants but that doesn't do much with a $2,000 max.",Same/Strong,"Devoted's CORE plan in Manatee has a $2,000 max and this UHC plan does as well. Both plans are very similar in regards to their comprehensive coverage but UHC has implant coverage. UHC also will pay the negotiated HMO rate if their members go OON...not sure if Devoted does this so the UHC plan is the 'same' at best or slightly better","Plan pays up to $300 toward purchase of 1 pair of standard lenses and frames every year – standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses – OR contact lenses instead of lenses and frames every year (fitting and evaluation may be an additional cost). Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Home-delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","2 hearing aids per year; $175 copay for each Silver-level aid; $425 copay for each Gold-level aid; $800 copay for each Classic-level name-brand aid; $1,225 copay for each Premier-level name-brand aid. Aids can be fit in-person with a network provider or delivered directly with virtual follow-up care (select models). Accessories and optional services are available for purchase but are not covered by the plan.",NC,Up to 28 home-delivered meals for up to 14 days; benefit can be used immediately following an inpatient or SNF stay if recommended by a provider.,UNK,N/A,,
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 034 - 000,Zero MAPD HMO,"Like most HMO UHC plans, this plan seems to pay the negotiated rate for OON care. They say they cover implants but that doesn't do much with a $1,500 max.",Same,"Devoted's CORE plan in Manatee has a $2,000 max and this UHC plan has a $1,500 max. Both plans are very similar in regards to their comprehensive coverage but UHC has implant coverage. UHC also will pay the negotiated HMO rate if their members go OON...not sure if Devoted does this so the UHC plan but even though the implant coverage is more of a bait and switch, most brokers and members will probably see these as being similar in strength unless Devoted added implant coverage or increased max.","Plan pays up to $200 toward purchase of 1 pair of standard lenses and frames every year – standard lenses that are covered in full include single vision, lined bifocal, lined trifocal, lenticular, and Tier I (standard) progressive lenses – OR contact lenses instead of lenses and frames every year (fitting and evaluation may be an additional cost). Once contact lenses are selected and fitted, they may not be exchanged for eyeglasses. Home-delivered eyewear is available nationwide through UnitedHealthcare Vision (select products only).","2 hearing aids per year; $175 copay for each Silver-level aid; $425 copay for each Gold-level aid; $800 copay for each Classic-level name-brand aid; $1,225 copay for each Premier-level name-brand aid. Aids can be fit in-person with a network provider or delivered directly with virtual follow-up care (select models). Accessories and optional services are available for purchase but are not covered by the plan.",NC,Up to 28 home-delivered meals for up to 14 days; benefit can be used immediately following an inpatient or SNF stay if recommended by a provider.,UNK,N/A,,
FL: Manatee,CIGNA,H5410 - 029 - 000,Zero MAPD HMO,This an allowance so IN/OON issues don't apply and there aren't any restrictions on allowable dental procedures,Weak,"Devoted offers a $2,000 max for both dental and eyewear with a debit card and this Cigna plan has a $1,250 allowance so the Cigna plan is weaker but not by much..maybe if Devoted bumped it up to $2,500, that would be even better","$300 allowance for non-Medicare-covered eyewear every year. $0 copayment up to the eyewear allowance for: –up to one pair of eyeglasses (lenses and frames) every year (routine eye exam does not include a contact lens fitting) –unlimited contact lenses up to plan coverage limit –up to one pair of eyeglass lenses every year –up to one eyeglass frame every year –upgrades The plan specified allowance may be applied to one set of the customer's choice of eyewear, to include the eyeglass frame/lenses/lens options combination or contact lenses and contact lens fitting (to include related professional fees) in lieu of eyeglasses. Non-Medicare-covered annual eyewear allowance applied to the retail value only. Applicable taxes are not covered. Unused balance of the allowance amount does not carry forward to future benefit years.","Hearing aid allowance of $2,500 for both ears combined every three years. $0 copayment for one routine hearing test every year. $0 copayment for fitting evaluations on hearing aids. Hearing aid evaluations are part of the routine hearing exam. Multiple fittings are allowed with the original provider if necessary to ensure hearing aids are accurately fitted. A routine hearing exam needs to be performed prior to hearing aids being dispensed. Hearing aid devices are limited to those worn externally and do not include assisted listening devices, amplifiers or disposable devices. Customers are required to contact Cigna’s hearing vendor to access the routine hearing exam and supplemental hearing aid benefits. A 60-day evaluation period is granted to determine the effectiveness of a hearing aid. A 4-year supply of batteries (up to 256 cells per hearing aid) is included with a hearing aid that is acquired through Cigna’s hearing vendor.",NC,"When released from an inpatient hospital stay or skilled nursing facility, members can get 14 healthy frozen meals delivered to their home. This benefit is available up to three (3) times each year. $0 copayment. Releases from an emergency department, observation stay or outpatient visit are not eligible. Members meeting this requirement will receive a call from Cigna's meal provider to schedule delivery. Members diagnosed with End-Stage Renal Disease (ESRD) and enrolled in an ESRD care management program can get up to 56 healthy frozen meals delivered to their home. $0 copayment for 56 meals over 28 days, once each year for ESRD members. Members are eligible for this benefit once per year. Members meeting this requirement will receive a call from Cigna's meal provider to schedule delivery.","$50,000 (USD) combined limit per year for emergency and urgent care services provided outside the U.S. and its territories.","In addition to the 24-Hour Health Information Line to talk one-on-one with a Nurse Advocate, members can call the Health Information Library to listen to recorded audio tapes. HealthWise gives members access to video and written content on a variety of health and wellness topics. See Meal benefit for additional benefit for ESRD members.",,N/A
FL: Manatee,Guidewell Mutual Holding Corporation,H1035 - 045 - 000,Zero MAPD HMO,"Based on the high copays for most procedures, I assume this is a true DHMO dental plan. We don't know the vendor but these copays look similar to what I've seen with Delta Dental's DHMO plan. Says unlimited max, no distinction between IN and OON.",Weak,"Devoted offers a $2,000 max for both dental and eyewear with a debit card and even though this Guidewell plan has an unlimited max, their members have to pay ridiculously high copays and it's a DHMO network. Devoted wins",NC,"$750 annual maximum plan benefit allowance for each hearing aid -- up to 2 aids every year; hearing aid purchases include: 3 follow-up visits within first year of initial fitting date, 60-day trial period from date of fitting, 60 batteries per year per hearing aid (3-year supply), 3-year manufacturer repair warranty, 1-time replacement coverage for lost, stolen or damaged hearing aid (deductible may apply per aid), First set of ear molds (when needed). Amounts paid for these supplies do not count toward INN out-of-pocket maximum amount. OON aids -- member must pay 100% of cost and submit itemized receipt(s) for reimbursement at 53% of the INN allowed amount.",NC,NC (except for SSBCI),"We cover emergency and urgent care services received outside the United States and its territories. Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.","Special Supplemental Benefits for the Chronically Ill (SSBCI) – Members diagnosed as having one or a combination of Coronary Artery Disease (CAD), Congestive Heart Failure (CHF), Chronic Obstructive Pulmonary Disease (COPD), and/or Diabetes may receive additional benefits for: 20 Meals per month, home delivered; 3 Telephone consultations for Nutritional Therapy and Planning with a Dietary Counselor, per year; An additional $50 allowance toward the purchase of Over-the-Counter (OTC) items, utilizing the plan-approved OTC benefit vendor; Enhanced Fitness training with 5 personal trainer sessions and specialized fitness classes through the plan-sponsored fitness program, SilverSneakers; 12 one-way additional routine transportation trips through the plan-sponsored transportation provider. These additional services do not require a clinical need and may be used for social purposes.",N/A,N 
FL: Manatee,CVS Health Corporation,H5521 - 272 - 000,Zero MAPD PPO,"This plan has 0% coinsurance for both IN and OON. Mention of members being reimbursed up to $2,100 for dental services so would this be an allowance?",Same,"Devoted offers a $2000 max for both dental and eyewear with a debit card. Because Aetna has a $2,100 max for similar comprehensive care and 0% coinsurance as well, these plans are about the same.",Up to $200 every year for non‐Medicare covered prescription eyewear: contact lenses; eyeglasses (lenses and frames); eyeglass lenses; eyeglass frames; upgrades,"Plan pays up to $1,250 per ear for hearing aids every year (2 hearing aids every year)",NC,NC,UNK,N/A,,N
