County,Provider,CONTRACT_PLAN,PLAN_CATEGORY,Medicaid Coverage Categories (For D-SNP plans only),Enrolls All Duals (Y/N),"Types of Chronic Conditions (C-SNP only) (Diabetes, Coronary Artery Diseases, Cardiovascular Disorders, COPD, ESRD)",VBID (Y/N),Annual Max ,Annual Max - Shared Allowance (Y/N),Bridges Coinsurance,Crowns Coinsurance,Implant Coinsurance,Root Canal Coinsurance,Denture Coinsurance,Periodontal Surgery Coinsurance,"Dental Vendor Name (Vendor, Card Based, Allowance)",Optional Supplemental Benefit (Y/N),"Benefit Structure: Vendor, Non-vendor, Card-Based, Allowance","Out-of-Network Cost Share (Identical, Different)",Preventative Only (Y/N),Preventative and Comprehensive (Y/N),Implant Coverage (Y/N),Root Canal Coverage (Y/N),Denture Coverage (Y/N),Periodontal Surgery Coverage (Y/N),Crowns (Y/N),Bridges (Y/N),"Dental Score Card (Weak, Same or Strong) compared to Devoted plan design.  I will compare apples to apples (i.e. PPO vs PPO, 0 HMO vs 0 HMO) and will be comparing the overall dental plan design. ",Healthy Food Card Vendor,Healthy Food Card Amount,Healthy Food Card Benefit Structure (Monthly/Quarterly),Healthy Food Rollover,OTC Vendor,OTC Benefit Structure (Monthly/Quarterly),OTC - Retail (Y/N),OTC - Catalog (Y/N),OTC- Online (Y/N) ,OTC- Over-the-phone (Y/N) ,OTC Rollover (Y/N),Utilities Vendor,Utilities Benefit Structure (Monthly/Quarterly),Covered Utilities ,Utilities Rollover,Combined/Shared Benefit (Y/N) ,Additional Flex Card Benefit ,Additional Supplemental Benefit Choice (Use this row for if a member MUST choose a benefit at the time of enrollment),Routine Acupuncture Vendor,"Routine Acupuncture Benefit Structure (# of Visit /Timeframe, Coverage)",Medicare Covered Acupuncture Vendor,Therapeutic Massage Vendor,"Therapeutic Massage Benefit Structure (# of Visits/Timeframe, Coverage)",Routine Chiropractor Vendor,"Routine Chiropractor Benefit Structure (# of Visits/Timeframe, Coverage)",Vision Vendor,Fitness Vendor,Wearable Device (Fitness),Grocery Delivery,Hearing Aid Vendor,Nemt Vendor,Nemt Oneway Trip Limit,Nemt Distance (Max Mileage),In Home/ Bathroom Safety Devices (Y/N),In-Home Support Services/Personal Home Care Vendor,In-Home Support Services/Personal Home Care Benefit Structure ,PERS Vendor,PERS Coverage,Meals Vendor,Wig Chemo,Caregiver Support ,Worldwide Benefit Structure ,Companion Services ,Behavioral Health Vendor,DME Vendor,Nurse Line Vendor,Nurse Line 24/7 (Y/N)
FL: Jacksonville,CVS Health Corporation,H5521 - 269 - 000,Zero MAPD PPO,,,,,"$1,900",Y,0%,0%,N/A?,0%,0%,N/A?,Allowance,,Allowance,Same,N,Y,N?,Y,Y,N?,Y,Y,Same,NC,NC,NC,NC,OTC Health Solutions,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,NC,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed,SilverSneakers,NC,NC,NationsHearing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NC,NC
FL: LMS,"UnitedHealth Group, Inc.",H1045 - 039 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,"$4,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Weak,Solutran,$255,Monthly,N,Solutran,Monthly,Y,Y,Y,Y,N,Solutran,Monthly,"Electricity, gas, water, and internet",N,"Y (food, OTC, utilities)",N,N/A,OptumHealth Care Solutions,12 visits/annually,UNK,NC,NC,OptumHealth Care Solutions,12 visits/annually,UnitedHealthcare Vision,Renew Active,Fitbit -- 1 Fitbit device every 2 years; only certain models are covered.,NC,UnitedHealthcare Hearing,ModivCare,72 one-way trips/annually,50 miles,N ,NC,NC,Lifeline,$0 button can be worn on the wrist or as a pendant; covers the subscription as well,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: LMS,Humana Inc.,H1019 - 026 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,Unlimited?,N/A,N/A,0%,N/A,0%,0%,N/A,Humana,,Vendor,Identical,N,Y,N,Y,Y,N,Y,N,Weak,NC,NC,NC,NC,UNK,Monthly,Y,UNK,UNK,UNK,N ,UNK,Monthly,"Utilities, internet",N,"Y (Food, OTC products, home supplies, general supports for living (rent assistance, utilities, internet), meal delivery services, personal wellness products, bathroom safety devices, NEMT, pest control, robotic pets, disaster-relief products, pet care & supplies)",N,N/A,NC,NC,UNK,,NC -- see add'l notes below,UNK,12 visits/annually,UNK,SilverSneakers,NC,NC,UNK,UNK,Unlimited NEMT trips to plan-approved locations within the plan service area,35 miles,Y,NC,NC,NC,NC,UNK,Unlimited maximum benefit per calendar year,Flexible Care Assistance includes caregiver services,UNK,Y -- also covers robotic pets,UNK,UNK,NC,N 
FL: LMS,Humana Inc.,H1036 - 213 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,"$6,000",Y,"0% IN, 100% OON","0% IN, 100% OON",N/A?,"0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON",Humana,,Vendor,Different,N,Y,N,Y,Y,Y,Y,Y,Weak/Same,UNK,$175,Monthly,Y,UNK,Monthly,Y,Y,UNK,UNK,Y,UNK,Monthly,"Utilities, internet",Y,"Y (Food, OTC products, home supplies, general supports for living (rent assistance, utilities, internet), meal delivery services, personal wellness products, bathroom safety devices, NEMT, pest control, robotic pets, disaster-relief products, pet care & supplies)","Y -- $250 prepaid Visa card, which can be used toward the plans's covered vision, dental, and/or hearing services.",N,NC,NC,UNK,UNK,NC -- see add'l notes below,NC,NC,UNK,SilverSneakers,NC,NC,HearUSA,UNK,Unlimited trips to plan-approved locations w/in the plan service area.,UNK,Y,UNK,Post-Discharge Personal Home Care benefit covers short-term support at home to assist with transition of care after a qualifying inpatient hospital stay; minimum of 4 hours/day up to maximum of 44 hours/year. Services must be initiated w/in 30 days of discharge and utilized w/in 60 days of discharge for each qualifying event up to maximum annual allowance.,NC,NC,UNK,Unlimited maximum benefit per calendar year.,Humana Flexible Care Assistance includes caregiver services,UNK,Y -- also covers robotic pets,UNK,UNK,NC,N 
FL: LMS,Humana Inc.,H1019 - 057 - 000,Zero MAPD HMO,,,,,Unlimited?,N/A,N/A,0%,N/A,0%,0%,N/A,Humana,,Vendor,Identical,N,Y,N,Y,Y,N,Y,N,Same/Strong,NC,NC,NC,NC,UNK,Monthly,Y,Y,N,Y,N ,NC,NC,NC -- note that Flexible Care Assistance includes utilities for chronically ill members,NC,N,"Y, Alivi Vendor Upon request, members receive a $1,000 CareCard that can only be used at participating providers to extend the covered services under the plan’s supplemental dental, vision, and/or hearing benefits.",N ,NC,NC,UNK,NC,NC,UNK,12 visits/annually; members can self-refer to a network chiropractor for routine spinal adjustments; $10 copay; PA requirements may apply,UNK,SilverSneakers,NC,NC,UNK,UNK,Unlimited NEMT trips to plan-approved locations w/in the plan service area,Authorization may be required for trips over 35 miles,Y -- only for qualifying chronically ill members (see note below re: Flexible Care Assistance),UNK,NC,NC,NC,UNK,Y -- up to $500 per calendar year,Flexible Care Assistance includes caregiver services,UNK,NC,UNK,UNK,NC,N 
FL: LMS,"UnitedHealth Group, Inc.",H1045 - 025 - 000,Zero MAPD HMO,,,,,"$2,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Same/Strong,NC,NC,NC,NC,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,N ,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,UnitedHealthcare Hearing,NC,NC,NC,N ,NC,NC,NC,NC,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: LMS,Humana Inc.,H1036 - 146 - 000,Zero MAPD HMO,,,,,"$2,000",Y,N/A,"0% IN, 100% OON",N/A,N/A,"0% IN, 100% OON",N/A,Humana,,Vendor,Different,N,Y,N,N,Y,N,Y,N,Weak/Same,NC,NC,NC,NC,UNK,Quarterly,N ,Y,UNK,UNK,Y,NC,NC,NC,NC,NC,Y,N ,NC,NC,UNK,NC,NC,NC,NC,,SilverSneakers,NC,NC,HearUSA,UNK,Unlimited trips to plan-approved locations within the plan service area.,UNK,N ,,Post-Discharge Personal Home Care benefit covers short-term support at home to assist with transition of care after a qualifying inpatient hospital stay; minimum of 4 hours/day up to maximum of 44 hours/year. Services must be initiated w/in 30 days of discharge and utilized w/in 60 days of discharge for each qualifying event up to maximum annual allowance.,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NC,NC
FL: LMS,Guidewell Mutual Holding Corporation,H1035 - 043 - 000,Zero MAPD HMO,,,,,Unlimited,N/A,N/A,$184-$302 copay,N/A,$196-$358 copay,$382-$420 copay,N/A,?,,Vendor,Identical,N,Y,N,Y,Y,N,Y,N,Weak,UNK,For SSBCI members only -- $20 (see additional info in Other Benefits below),Monthly (SSBCI only),N,UNK,Quarterly,N,Y,"UNK -- EOC mentions only catalog, no specifics on how to order","UNK -- EOC mentions only catalog, no specifics on how to order",N,NC,NC,NC,,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,NC,SilverSneakers,"UNK -- the EOC doesn't specify a Fitbit, but does mention ""tool"" and ""allows members to measure and track"": As an alternative for members who can’t get to a SilverSneakers participating location, SilverSneakers® Steps is available. SilverSneakers Steps is a self-directed physical activity program that allows members to measure, track and increase physical activity doing activities of their choice. Steps provides the equipment, tools and motivation necessary for members to achieve a healthier lifestyle through increased physical activity.",NC,UNK,UNK,48 per calendar year,"UNK -- EOC does not specify mileage limit, only ""within your service area""",N ,UNK,"We offer this benefit through our partnership with our participating provider who connects youthful, energetic adults to enrollees who require assistance with transportation, companionship, household chores, use of electronic devices, exercise and activity. Benefits include the following: At Home Care, 60 hours per year. Services include support with Instrumental Activities of Daily Living (IADL). Visits are available seven days a week, between 7:00 a.m. to 10:00 p.m. Visits are easily scheduled through a toll-free number or mobile app. Our provider completes a robust initial and ongoing training, including escalation protocols for handling urgent or emergent situations to ensure the safety of our members.",NC,NC,NC,NC,"Coverage for coaching, education and support services such as counseling and training courses for caregivers of members. Benefits include: A web-based tool that contains educational content covering topics on health, wealth, senior living, in-home care and lifestyle. Access for caregivers and family members to post updates and videos; tools to manage documents, stay organized and on top of upcoming tasks and appointments. Search tools for community resources (i.e., senior housing search and in-home care search).","Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.",At Home Care benefit includes companionship.,UNK,UNK,NC,NC
FL: LMS,Guidewell Mutual Holding Corporation,H5434 - 036 - 000,Zero MAPD PPO,,,,,Unlimited*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,,Vendor,Different,N,Y,N,N,N,N,N,N,Weak,NC,NC,NC,NC,UNK,Quarterly,N ,Y,"UNK -- EOC mentions only catalog, no specifics on how to order","UNK -- EOC mentions only catalog, no specifics on how to order",N ,NC,NC,NC,NC,N ,N,N/A,NC,NC,UNK,NC,NC,NC,NC,NC,SilverSneakers,"UNK -- the EOC doesn't specify a Fitbit, but does mention ""tool"" and ""allows members to measure and track"": As an alternative for members who can’t get to a SilverSneakers participating location, SilverSneakers® Steps is available. SilverSneakers Steps is a self-directed physical activity program that allows members to measure, track and increase physical activity doing activities of their choice. Steps provides the equipment, tools and motivation necessary for members to achieve a healthier lifestyle through increased physical activity.",NC,UNK,NC,NC,NC,N ,UNK,"We offer this benefit through our partnership with our participating provider who connects youthful, energetic adults to enrollees who require assistance with transportation, companionship, household chores, use of electronic devices, exercise and activity. Benefits include the following: At Home Care, 60 hours per year. Services include support with Instrumental Activities of Daily Living (IADL). Visits are available seven days a week, between 7:00 a.m. to 10:00 p.m. Visits are easily scheduled through a toll-free number or mobile app. Our provider completes a robust initial and ongoing training, including escalation protocols for handling urgent or emergent situations to ensure the safety of our members.",NC,NC,NC,NC,"Coverage for coaching, education and support services such as counseling and training courses for caregivers of members. Benefits include: A web-based tool that contains educational content covering topics on health, wealth, senior living, in-home care and lifestyle. Access for caregivers and family members to post updates and videos; tools to manage documents, stay organized and on top of upcoming tasks and appointments. Search tools for community resources (i.e., senior housing search and in-home care search).","Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.",At Home Care benefit includes companionship.,UNK,UNK,NC,N 
FL: LMS,"UnitedHealth Group, Inc.",H2406 - 016 - 000,Zero MAPD PPO,,,,,"$1,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Weak,NC,NC,NC,NC,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,UnitedHealthcare Hearing,NC,NC,NC,N ,NC,NC,NC,NC,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: LMS,Humana Inc.,H5216 - 074 - 000,Zero MAPD PPO,,,,,"$1,000",Y,N/A,N/A,N/A,N/A,N/A,N/A,Humana,,Vendor,Identical,N,Y,N,N,N,N,N,N,Weak,NC,NC,NC,NC,UNK,Monthly,N ,Y,,,Y,NC,NC,NC,NC,N ,N,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed Vision Care,SilverSneakers,NC,NC,UNK,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NC,NC
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 039 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,"$4,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Weak,Solutran,$255,Monthly,N,Solutran,Monthly,Y,Y,Y,Y,N,Solutran,Monthly,"Electricity, gas, water, and internet",N,"Y (food, OTC, utilities)",N,N/A,OptumHealth Care Solutions,12 visits/annually,UNK,NC,NC,OptumHealth Care Solutions,12 visits/annually,UnitedHealthcare Vision,Renew Active,Fitbit -- 1 Fitbit device every 2 years; only certain models are covered,NC,UnitedHealthcare Hearing,ModivCare,72 one-way trips/annually,50 miles,NC,NC,N/A,Lifeline,$0 button can be worn on wrist or as pendant; covers subscription as well,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: Manatee,CVS Health Corporation,H1609 - 047 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,Unlimited?,N/A,"0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON",Liberty,,Vendor,Different,N,Y,Y,Y,Y,Y,Y,Y,Same/Strong,NationsBenefits,$500 shared,Quarterly,N ,NationsBenefits,Quarterly,Y,Y,Y,Y,N,NationsBenefits,Quarterly,"Water, heating, oil, electricity, sanitary/trash, gas, landline phone or cellphone, and internet",N,"Y -- healthy food, utilities, and transportation ($500)",N ,N/A,American Specialty Health (ASH),"Up to 24 visits/year; Covered services must be performed by a licensed acupuncturist for the relief of musculoskeletal pain conditions, nausea from pregnancy, immediate post‐surgery, and chemotherapy. (Covered services do not include acupuncture for weight loss, sexual dysfunction, mental conditions such as depression, smoking cessation, or drug or alcohol addiction.)",American Specialty Health (ASH),UNK ,"Medically necessary massage therapy services may be available under the Medicaid portion of the plan’s benefits to enrollees diagnosed with AIDS, and who have had a history of an AIDS‐related opportunistic infection for the treatment of peripheral neuropathy or severe neuromuscular pain and lymphedema by medical massage.",UNK ,"Up to 12 visits/year; Services include, but are not limited to, evaluation and management, x‐ray examination, chiropractic manipulative therapy, modalities and therapeutic procedures, physical rehabilitation for musculoskeletal conditions of the spine and extremities. Additional services available under the Medicaid portion of the plan's benefits include: medically necessary chiropractic services – up to 24 visits per year, per member, and X‐rays.",iCare,SilverSneakers,NC,NC,NationsHearing,Access2Care,Unlimited one-way trips every year,"60 miles, unless preapproved by the plan",Y,"Papa, Inc.",Up to 120 hours per year,LifeStation,"$0 copay for equipment (in-home or mobile w/ GPS), shipping, fulfillment, 24/7 monitoring, and customer service",Independent Living Systems,Up to $400 every year,NC,UNK ,"Plan has partnered with “Papa, Inc.” to provide in‐person (or virtual) assistance and companionship. Papa connects you with an adult companion who can provide an extra set of hands, a shoulder to lean on, a listening ear — when, where and how you need it, to help you maintain your health. You can decide how to use this benefit by working with your care manager or healthcare provider to best meet your needs. You can use the companion for company, or for help with activities around the house such as light cleaning, meal preparation and laundry. The companion can also assist with grocery shopping, light errands, help with electronics such as your computer or phone, or can even play cards with you. You may schedule up to 120 hours of service per year.",UNK ,UNK ,UNK ,Y
FL: Manatee,Humana Inc.,H1036 - 102 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,"$6,000",Y,"0% IN, 100% OON","0% IN, 100% OON",N/A?,"0% IN, 100% OON","0% IN, 100% OON","0% IN, 100% OON",Humana,,Vendor,Different,N,Y,N,Y,Y,Y,Y,Y,Weak/Same,UNK,$175 (shared),Monthly,Y,UNK,Monthly,Y,Y,UNK -- mail order,UNK -- mail order,Y,UNK,Monthly,Utilities and internet,Y,"Y (Food, OTC products, home supplies, general supports for living (rent assistance, utilities, internet), meal delivery services, personal wellness products, bathroom safety devices, NEMT, pest control, robotic pets, disaster-relief products, pet care & supplies)",N,N/A,UNK,Up to 25 visits per calendar year,UNK,UNK,NC -- see add'l notes below  ,UNK,"Members may self-refer to a network chiropractor for 12 visits per calendar year for routine spinal adjustments. Covered supplemental services include: new and established patient examinations, select x-ray procedures, non-spinal/extremity manipulation, and select physical medicine modalities and procedures.",UNK,SilverSneakers,NC   ,NC ,HearUSA,UNK,Unlimited NEMT trips to plan-approved locations within the plan service area,UNK,Y,UNK,Post-Discharge Personal Home Care benefit covers short-term support at home to assist with transition of care after a qualifying inpatient hospital stay; minimum of 4 hours/day up to maximum of 44 hours/year. Services must be initiated w/in 30 days of discharge and utilized w/in 60 days of discharge for each qualifying event up to maximum annual allowance.,NC,NC,Meals on Wheels,,Humana Flexible Care Assistance includes caregiver services,UNK,Y -- also covers robotic pets,UNK,UNK,NC,NC
FL: Manatee,"Elevance Health, Inc.",H5427 - 087 - 000,D-SNP HMO,"FBDE, QDWI, QI, QMB, QMB+, SLMB, SLMB+",Y,,Y,Unlimited?,N/A,N/A,"0% IN, 100% OON ?",N/A,N/A,"0% IN, 100% OON",N/A,?,,Vendor,Different,N,Y,N,N,Y,N,Y,N,Weak,UNK,$100,Monthly,N,UNK,Monthly,N,Y,Y,Y,N,NC,NC,NC,NC,N,N ,N/A,NC,NC,UNK,UNK,"The plan shall provide medical massage therapy services to enrollees diagnosed with AIDS, and who have had a history of an AIDS-related opportunistic infection for the treatment of peripheral neuropathy or severe neuromuscular pain and lymphedema. The plan may place appropriate limits on such services on the basis of medical necessity. Members with full Medicaid benefits: $0 copayment for Medicaid-covered services.",NC,NC,UNK,SilverSneakers,NC,NC,UNK,Lyft,Unlimited,UNK -- EOC states: Transportation is intended for rides within your county.,N ,Papa's Pals    ,"You pay $0 copayment for up to 30 hours of In-Home Support services per year. Assistance for services such as: Household chores: light cleaning, organization, laundry; Companionship: conversation, board games, reading, hobbies; Technical Guidance: assist with learning telehealth services to connect with physician, help install devices; Exercise and Activity: walking or biking; Assistance from a distance: virtual services and companionship.",UNK,$0 copayment for 1 Personal Emergency Response (PERS) monitoring device and monitoring service.,UNK,NC,NC,"We offer a supplemental benefit covering emergency services, urgent services, and emergency ambulance transportation outside of the country up to $100,000 with a $500 copayment. If you get nonemergency care, you must pay the entire cost yourself. Prescription and over-the- counter drugs are not covered services outside of the United States.",Papa's Pals In Home Support benefit includes companionship.,UNK,UNK,UNK,Y  
FL: Manatee,Humana Inc.,H1036 - 074 - 000,Zero MAPD HMO,,,,,"$2,000",Y,N/A,"0% IN, 100% OON",N/A,N/A,"0% IN, 100% OON",N/A,Humana,,Vendor,Different,N,Y,N,Y,Y,N,Y,N,Weak/Same,NC,NC,NC,NC,UNK,Monthly,N ,Y,UNK -- mail order,UNK -- mail order,Y ,NC,NC,NC,NC,N ,Y ,"N -- Members receive a $1,000 annual allowance on a prepaid card which can be used towards out-of-pocket costs, including copays, for the plan’s dental, vision and/or hearing supplemental benefits, allowing members to extend their coverage.",NC,NC,UNK,NC,NC,NC,NC,UNK,SilverSneakers,NC,NC,HearUSA,UNK,Unlimited NEMT trips to plan-approved locations within the plan service area,UNK,N ,UNK,Post-Discharge Personal Home Care benefit covers short-term support at home to assist with transition of care after a qualifying inpatient hospital stay; minimum of 4 hours/day up to maximum of 44 hours/year. Services must be initiated w/in 30 days of discharge and utilized w/in 60 days of discharge for each qualifying event up to maximum annual allowance.,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NC,N
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 028 - 000,Zero MAPD HMO,,,,,"$2,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Same/Strong,NC,NC,NC,NC,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,N ,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,UnitedHealthcare Hearing,NC,NC,NC,N ,NC,NC,NC,NC,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: Manatee,"UnitedHealth Group, Inc.",H1045 - 034 - 000,Zero MAPD HMO,,,,,"$1,500",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Same,NC,NC,NC,NC,Solutran,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,N ,N,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,,NC,NC,NC,N ,NC,NC,NC,NC,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: Manatee,CIGNA,H5410 - 029 - 000,Zero MAPD HMO,,,,,"$1,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Any licensed dentist,,Allowance,Identical,N,Y,Y,Y,Y,Y,Y,Y,Weak,NC,NC,NC,NC,UNK,Quarterly,Y,Y -- catalog orders limited to one per month per member,Y,Y,N ,NC,NC,NC,NC,,"N -- the OTC section mentions the Cigna Healthy Today benefit card -- they have it misspelled ""Heathy"" :-( -- but that card is not mentioned anywhere else in the EOC",N/A,NC,NC,UNK,NC,NC,NC,NC,Superior Vision,Silver&Fit,Y -- Home Fitness Kit includes a wearable fitness tracker,NC,Hearing Care Solutions,Lyft,10 one-way trips to plan-approved lcoations every year,60 miles. PA is required where the travel distance to a provider exceeds the mileage limit of 60. ,N ,NC,NC,NC,NC,,NC,NC,"$50,000 (USD) combined limit per year for emergency and urgent care services provided outside the U.S. and its territories.",NC,UNK,UNK,UNK,Y
FL: Manatee,Guidewell Mutual Holding Corporation,H1035 - 045 - 000,Zero MAPD HMO,,,,,Unlimited,N/A,N/A,$184-$302 copay,N/A,$196-$358 copay,$382-$420 copay,N/A,?,,Vendor,Identical,N,Y,N,Y,Y,N,Y,N,Weak,NC,NC,NC,NC,UNK,Quarterly,N ,Y,"UNK -- EOC mentions only catalog, no specifics on how to order","UNK -- EOC mentions only catalog, no specifics on how to order",N,NC,NC,NC,NC,N,N,N/A,NC,NC,UNK,NC,NC,NC,NC,NC,SilverSneakers,"UNK -- the EOC doesn't specify a Fitbit, but does mention ""tool"" and ""allows members to measure and track"": As an alternative for members who can’t get to a SilverSneakers participating location, SilverSneakers® Steps is available. SilverSneakers Steps is a self-directed physical activity program that allows members to measure, track and increase physical activity doing activities of their choice. Steps provides the equipment, tools and motivation necessary for members to achieve a healthier lifestyle through increased physical activity.",NC,,UNK,48 trips per calendar year,"UNK -- EOC does not specify mileage limit, only ""within your service area""",N ,UNK,"We offer this benefit through our partnership with our participating provider who connects youthful, energetic adults to enrollees who require assistance with transportation, companionship, household chores, use of electronic devices, exercise and activity. Benefits include the following: At Home Care, 60 hours per year. Services include support with Instrumental Activities of Daily Living (IADL). Visits are available seven days a week, between 7:00 a.m. to 10:00 p.m. Visits are easily scheduled through a toll-free number or mobile app. Our provider completes a robust initial and ongoing training, including escalation protocols for handling urgent or emergent situations to ensure the safety of our members.",NC,NC,"NC -- except for SSBCI, see below",NC,"Caregiver Support – We provide coverage for coaching, education and support services such as counseling and training courses for caregivers of members. Benefits include: A web-based tool that contains educational content covering topics on health, wealth, senior living, in-home care and lifestyle. Access for caregivers and family members to post updates and videos; tools to manage documents, stay organized and on top of upcoming tasks and appointments. Search tools for community resources (i.e., senior housing search and in-home care search).","We cover emergency and urgent care services received outside the United States and its territories. Coverage is limited to a $25,000 combined maximum per calendar year and does not include coverage of emergency transportation services.",At Home Care includes companionship.,UNK,UNK,NC,N 
FL: Manatee,CVS Health Corporation,H5521 - 272 - 000,Zero MAPD PPO,,,,,"$2,100",Y,0%,0%,N/A?,0%,0%,N/A?,Aetna,,Allowance?,Identical,N,Y,N?,Y,Y,N?,Y,Y,Same,NC,NC,NC,NC,OTC Health Solutions,Quarterly,Y,Y,Y,Y,N,NC,NC,NC,NC,,,,NC,NC,UNK,NC,NC,NC,NC,EyeMed,SilverSneakers,NC,NC,NationsHearing,NC,NC,NC,N ,NC,NC,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,UNK,Y
FL: Manatee,"UnitedHealth Group, Inc.",H2406 - 009 - 000,Zero MAPD PPO,,,,,"$2,000",Y,0%,0%,0%,0%,0%,N/A?,UnitedHealthCare,,Vendor,Identical,N,Y,Y,Y,Y,N?,Y,Y,Same/Strong,NC,NC,NC,NC,In store: Solutran; online and over the phone: Firstline,Quarterly,Y,Y,Y,Y,N ,NC,NC,NC,NC,N,NC,N/A,NC,NC,UNK,NC,NC,NC,NC,UnitedHealthcare Vision,Renew Active,NC,NC,UnitedHealthcare Hearing,NC,NC,NC,NC,NC,NC,NC,NC,Mom's Meals,NC,NC,UNK,NC,UNK,UNK,NurseLine,Y
FL: Manatee,Humana Inc.,H5216 - 072 - 000,Zero MAPD PPO,,,,,Unlimited*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Humana,,Vendor,Different,N,Y,N,N,N,N,N,N,Weak,NC,NC,NC,NC,UNK,Monthly,N ,Y,UNK -- mail order,UNK -- mail order,Y ,NC,NC,NC,NC,N ,N ,N/A,NC,NC,UNK,NC,NC,NC,NC,EyeMed Vision Care,SilverSneakers,NC,NC,HearUSA,NC,NC,NC,N ,NC,NC,NC,NC,NC,NC,NC,UNK,NC,UNK,UNK,NC,N
